text,label,4,4
"I like fridays generally, but class is extended today and I`m starving :X haha </whine> O:-P",neutral,92,92
Mc John sim posit 3 yr passed no softees stranded without warren tea out tech spec kaching !!,neutral,93,93
I tried that pincode... and it says it is expired... you only just put it up.,neutral,77,77
I`ve always been a ppl person just hid behind bad self confidence for 2 long u can do anything!,neutral,95,95
"Is it me (my machine)? or... Vids freeze up, halt whole blip stream ? http://blip.fm/~79l0q",neutral,91,91
"- we`re getting closer rather than further from REAL lobby dates - Chicago, BlogHer09 - squee!!!",neutral,96,96
250E!!! CRAZZYYYY ! But just this summer !!! cuz Ci are very close to RD! :s,neutral,76,76
be sure to go by my blog today - and check out your friends - I bet you have some new ones today!,neutral,97,97
Boo for being at work during #beatwittyparty but at least you`re still here!,neutral,76,76
but that is the only logical reason why you`d get hollered at 3x in the past hour. but what is dnw?,neutral,99,99
Chroma Key coolness ... When are the cumulus seminars going online couldn`t see the live feed here,neutral,98,98
"Either way, that`s unfortunate to hear Thanks you both for the head`s up.",neutral,73,73
- haha you do that mate btw have you seen a film called american history x starring edward norton,neutral,97,97
hhahaa! its well strange just woke up to an empty house ahah lolllllyyyyyyyy<3 love that dog,neutral,92,92
"how very rude fof them, you poor girl i hope you recovered from that awful site",neutral,79,79
"I am here to make friends.. real life, internet.. what ever level people are comfortable with..",neutral,95,95
"I could go for some Lulu`s or Slanted Door right about now. Tomorrow is the Farmer`s Market, right?",neutral,99,99
I hope when you`re calling this the shitshow you mean that in a good way. because this will be fun.,neutral,99,99
i met him! hes from where i live !!! he goes clubbing the same places lol! i dont get twittter,neutral,94,94
i must have just missed you. I was down there until 9:40 or so. Not sure if I`ll make it down again,neutral,99,99
I wanted to beta test but saw the thread after the results were announced,neutral,73,73
I wish I had Left 4 Dead. But first I`d need something to play it on...,neutral,71,71
I`ll make him nachos tomorrow. Better than if he would have made them himself.,neutral,78,78
"i`m having tuna & noodles thing, smashed potato cakes &......? Winksy says hi.",neutral,78,78
If I told you how often I wash my hair you would never speak to me again,neutral,72,72
"Im good ta. bit tired cos i`ve been wking all wkend but other than that, all good How`s you?",neutral,92,92
"Lets change this S0ulja B0y te|| em trending topic to, 'Soulja Girl Told em'",neutral,76,76
Lettuce & spinach does best in cool weather.. I live in florida..not much luck growing those..,neutral,94,94
Looks like the nap will have to wait. I`m still waiting on the poor guy,neutral,71,71
Maybe next time. Can`t be away this weekend as much as I`d like to jump in the car and go. ::pout::,neutral,99,99
My class will be at Chem Sc building. Will see the both of you after 5 yeah?,neutral,76,76
"- oh, COOL!! D. I`m going to like a bunchh of JB shows this summer... I am so broke now though haha",neutral,99,99
ok just between U and me and all of our followers on twitter what do U really think of ? lol,neutral,92,92
OMG Ur alive!!! LOL 2day has gone sooo slow I`m going insane Grrr You doing anything tonight?,neutral,93,93
- redbull has the same amount of caffine in it as a cup of coffee. You`re theory is quashed Nicola,neutral,98,98
sad day. I was lucky enough to realize it before I got out of the parking lot.,neutral,78,78
"Tat, You looks beautiful and are a heck of a mama and business woman. Dana",neutral,74,74
- THANKS ! My motivation is returning at about the rate I`m inputting coffee !,neutral,78,78
"That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",neutral,92,92
the website is http://tinyurl.com/c7yojg idk if the place is around ur area..,neutral,77,77
they are a long way from the sea unless they came from Gloucester docks.,neutral,72,72
Totally broke is right. I have to wait till Monday to get paid though! BOOHOO!,neutral,78,78
